"id","title","format","materials"
113,"popular delusion_02","sculpture","concrete;bedspread"
114,"Pressed into Service edition 3","sculpture","cast glass"
115,"Read More","sculpture","trash can;paint"
116,"Separation Anxiety_01 (mattress folded)","sculpture","mattress;cord"
117,"Separation Anxiety_02 (pillow, concrete, wax) edition 2","sculpture","pillow;concrete;wax"
118,"Separation Anxiety_04 (concrete)","sculpture","pillow;concrete;wax"
119,"Separation Anxiety_06 (glass piillow edition 10)","sculpture","glass"
120,"Sharon","image","altered photo;framed"
121,"she chewed ice in her sleep","sculpture","popsicle stick;paint"
122,"she has a speech impediment","sculpture","straw"
123,"Skater","digital image",
124,"Skater","digital image",
125,"Skater","digital image",
126,"Slipping Underwater","sculpture","wax"
127,"soft crush","sculpture","chair;exercise ball;rope;flocking"
128,"Something's Wrong 01 (flesh) edition 10","sculpture","glass"
129,"Something's Wrong 02 (brown) edition 10","sculpture","glass"
130,"Something's Wrong 03 (black) edition 10","sculpture","glass"
131,"strangled with the entrails (editino 2)",,
132,"Such a Disappointing Party","wall mounted object","candy alphabet"
133,"Such a Disappointing Party","wall mounted object","candy alphabet"
134,"Superfund","sculpture","cook pan;paint"
135,"Tangled in Phrases and Cushions (ed 3)","sculpture","glass"
136,"The collapsed heroon","image","digital print framed"
137,"The Night After Dawn 01","image",
138,"The Night After Dawn 02","image",
139,"This is You","sculpture","silicone;wood;vibrating motor"
140,"Till the next time I see you","sculpture","elmo;flocking"
141,"Tissue of Regret","sculpture","carpet padding;epoxy"
144,"too closely",,"silver"
145,"touch in midair",,"plastic comb;paint"
146,"trafficking in fragments",,"paper;digital projection"
147,"Transient Dimming (Edition 2)","sculpture","plastic kiddie pool;flocking"
148,"Transmission Event","sculpture","glass"
149,"Trim","sculpture","white bronze"
150,"Unattended Process 02 (white, top open) edition 3","sculpture","glass"
151,"Unattended Process 04 (open cast standing) edition 5","sculpture","glass"
152,"Untitled","sculpture","cinder block;paint"
153,"Untitled","sculpture","crutch;silicone;hair"
154,"Untitled","sculpture","trash can pillow"
155,"Untitled","sculpture","stuffed animal;paint;turf;steel;sterling"
156,"Untitled","sculpture","silicone;copper;nickle"
157,"Untitled (snowman stuffed animal)","sculpture","stuffed animal"
158,"Utopia Sighs","video, HD, 4:10",
159,"Violence Makes me mobile","sculpture","grocery cart"
160,"we lived in a hug",,"concrete"
161,"Which Could Result","sculpture","silicone;teething ring"
162,"without situation","sculpture","paint can;paint"
163,"without Situation_02",,"paint can paint"
164,"woodburn","sculpture","crowbar;paint"
165,"Wrest 01","video, HD, 1:56 loop",
166,"Wrest 02","video, HD, 1:09 loop",
